您是否同意核四啟封商轉發電？,2021年12月18日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,245,24,269,1,1369
金城鎮,東門里,315,44,359,5,1748
金城鎮,東門里,283,43,326,6,1692
金城鎮,南門里,291,47,338,5,1870
金城鎮,南門里,256,31,287,7,1608
金城鎮,南門里,381,56,437,7,1866
金城鎮,西門里,268,45,313,2,1584
金城鎮,西門里,284,48,332,1,1622
金城鎮,西門里,271,43,314,4,1564
金城鎮,西門里,306,41,347,0,1654
金城鎮,西門里,339,45,384,5,1730
金城鎮,西門里,300,32,332,6,1517
金城鎮,北門里,224,39,263,6,1334
金城鎮,北門里,219,15,234,0,1174
金城鎮,北門里,193,33,226,4,1471
金城鎮,賢庵里,247,44,291,2,1565
金城鎮,賢庵里,214,46,260,2,1530
金城鎮,賢庵里,240,55,295,1,1635
金城鎮,金水里,401,53,454,8,2226
金城鎮,古城里,207,28,235,2,1334
金城鎮,古城里,175,47,222,2,1229
金城鎮,古城里,235,37,272,4,1460
金城鎮,珠沙里,206,30,236,4,1590
金城鎮,珠沙里,236,27,263,3,1295
金寧鄉,古寧村,231,36,267,3,1783
金寧鄉,古寧村,180,31,211,2,1580
金寧鄉,安美村,256,70,326,4,2119
金寧鄉,安美村,143,27,170,4,1014
金寧鄉,安美村,282,42,324,10,1916
金寧鄉,湖埔村,282,62,344,3,1878
金寧鄉,湖埔村,308,123,431,4,1865
金寧鄉,湖埔村,330,61,391,0,1872
金寧鄉,湖埔村,307,52,359,3,1936
金寧鄉,榜林村,285,67,352,7,1933
金寧鄉,榜林村,252,34,286,1,1816
金寧鄉,榜林村,250,41,291,2,1519
金寧鄉,盤山村,259,33,292,5,1570
金寧鄉,盤山村,264,49,313,3,1874
金寧鄉,盤山村,255,192,447,5,1681
金寧鄉,盤山村,194,34,228,0,1278
金寧鄉,后盤村,259,45,304,1,1618
金湖鎮,新市里,249,42,291,7,1248
金湖鎮,新市里,229,22,251,4,1260
金湖鎮,新市里,267,30,297,4,1461
金湖鎮,山外里,324,53,377,8,1882
金湖鎮,山外里,236,38,274,11,1446
金湖鎮,溪湖里,214,23,237,5,1560
金湖鎮,蓮庵里,307,47,354,4,1704
金湖鎮,料羅里,173,26,199,3,1061
金湖鎮,料羅里,179,47,226,1,1071
金湖鎮,新湖里,301,88,389,3,2006
金湖鎮,新湖里,256,32,288,7,1672
金湖鎮,新湖里,237,40,277,4,1459
金湖鎮,新湖里,225,53,278,4,1502
金湖鎮,新湖里,240,56,296,2,1434
金湖鎮,正義里,166,37,203,2,1279
金湖鎮,正義里,284,29,313,8,1420
金湖鎮,瓊林里,283,44,327,5,1652
金湖鎮,瓊林里,280,45,325,6,1607
金沙鎮,汶沙里,143,13,156,4,895
金沙鎮,汶沙里,157,28,185,5,994
金沙鎮,汶沙里,272,28,300,3,1524
金沙鎮,汶沙里,281,43,324,2,1663
金沙鎮,何斗里,169,11,180,1,960
金沙鎮,何斗里,180,20,200,2,1085
金沙鎮,浦山里,220,26,246,2,1212
金沙鎮,浦山里,181,19,200,5,1133
金沙鎮,西園里,232,33,265,0,1592
金沙鎮,官嶼里,216,12,228,0,1233
金沙鎮,官嶼里,119,20,139,5,977
金沙鎮,三山里,131,24,155,3,1033
金沙鎮,三山里,169,12,181,4,922
金沙鎮,大洋里,200,16,216,4,1153
金沙鎮,光前里,180,34,214,2,1251
金沙鎮,光前里,188,34,222,3,1097
烈嶼鄉,林湖村,271,27,298,4,1601
烈嶼鄉,林湖村,272,42,314,0,1727
烈嶼鄉,黃埔村,207,22,229,3,1642
烈嶼鄉,西口村,141,26,167,5,1285
烈嶼鄉,西口村,154,23,177,2,1130
烈嶼鄉,上林村,171,13,184,6,1428
烈嶼鄉,上岐村,226,16,242,3,1411
烈嶼鄉,上岐村,184,30,214,6,1432
烏坵鄉,大坵村,15,4,19,0,270
烏坵鄉,小坵村,15,3,18,0,299
