您是否同意中油第三天然氣接收站遷離桃園大潭藻礁海岸及海域？（即北起觀音溪出海口，南至新屋溪出海口之海岸，及由上述海岸最低潮線往外平行延伸五公里之海域）,2021年12月18日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,244,25,269,1,1369
金城鎮,東門里,327,34,361,3,1748
金城鎮,東門里,288,41,329,3,1692
金城鎮,南門里,301,41,342,1,1870
金城鎮,南門里,256,34,290,4,1608
金城鎮,南門里,390,49,439,4,1866
金城鎮,西門里,277,37,314,1,1584
金城鎮,西門里,302,31,333,0,1622
金城鎮,西門里,286,28,314,4,1564
金城鎮,西門里,310,37,347,0,1654
金城鎮,西門里,343,42,385,4,1730
金城鎮,西門里,306,29,335,3,1517
金城鎮,北門里,227,38,265,4,1334
金城鎮,北門里,221,12,233,1,1174
金城鎮,北門里,196,32,228,2,1471
金城鎮,賢庵里,257,33,290,3,1565
金城鎮,賢庵里,219,42,261,1,1530
金城鎮,賢庵里,248,46,294,2,1635
金城鎮,金水里,397,59,456,6,2226
金城鎮,古城里,206,27,233,4,1334
金城鎮,古城里,176,46,222,2,1229
金城鎮,古城里,238,36,274,2,1460
金城鎮,珠沙里,208,30,238,2,1590
金城鎮,珠沙里,231,32,263,3,1295
金寧鄉,古寧村,233,34,267,3,1783
金寧鄉,古寧村,183,28,211,2,1580
金寧鄉,安美村,260,69,329,1,2119
金寧鄉,安美村,148,22,170,4,1014
金寧鄉,安美村,286,38,324,10,1916
金寧鄉,湖埔村,291,52,343,4,1878
金寧鄉,湖埔村,285,144,429,6,1865
金寧鄉,湖埔村,337,51,388,3,1872
金寧鄉,湖埔村,312,48,360,2,1936
金寧鄉,榜林村,298,56,354,5,1933
金寧鄉,榜林村,254,31,285,2,1816
金寧鄉,榜林村,257,31,288,5,1519
金寧鄉,盤山村,251,38,289,8,1570
金寧鄉,盤山村,267,46,313,3,1874
金寧鄉,盤山村,290,154,444,8,1681
金寧鄉,盤山村,196,32,228,0,1278
金寧鄉,后盤村,270,33,303,2,1618
金湖鎮,新市里,260,33,293,5,1248
金湖鎮,新市里,226,25,251,4,1260
金湖鎮,新市里,265,33,298,3,1461
金湖鎮,山外里,331,46,377,8,1882
金湖鎮,山外里,246,35,281,4,1446
金湖鎮,溪湖里,225,12,237,5,1560
金湖鎮,蓮庵里,318,34,352,6,1704
金湖鎮,料羅里,181,17,198,4,1061
金湖鎮,料羅里,176,48,224,3,1071
金湖鎮,新湖里,318,74,392,0,2006
金湖鎮,新湖里,260,31,291,4,1672
金湖鎮,新湖里,237,39,276,5,1459
金湖鎮,新湖里,225,55,280,2,1502
金湖鎮,新湖里,250,45,295,3,1434
金湖鎮,正義里,171,31,202,3,1279
金湖鎮,正義里,283,28,311,10,1420
金湖鎮,瓊林里,297,29,326,6,1652
金湖鎮,瓊林里,282,45,327,4,1607
金沙鎮,汶沙里,149,9,158,2,895
金沙鎮,汶沙里,162,24,186,4,994
金沙鎮,汶沙里,279,20,299,4,1524
金沙鎮,汶沙里,286,37,323,3,1663
金沙鎮,何斗里,169,11,180,1,960
金沙鎮,何斗里,183,18,201,1,1085
金沙鎮,浦山里,224,21,245,3,1212
金沙鎮,浦山里,183,19,202,3,1133
金沙鎮,西園里,243,20,263,2,1592
金沙鎮,官嶼里,214,12,226,2,1233
金沙鎮,官嶼里,124,16,140,4,977
金沙鎮,三山里,131,24,155,3,1033
金沙鎮,三山里,167,15,182,3,922
金沙鎮,大洋里,200,16,216,4,1153
金沙鎮,光前里,188,26,214,2,1251
金沙鎮,光前里,194,30,224,1,1097
烈嶼鄉,林湖村,275,23,298,4,1601
烈嶼鄉,林湖村,283,30,313,1,1727
烈嶼鄉,黃埔村,208,20,228,4,1642
烈嶼鄉,西口村,142,23,165,7,1285
烈嶼鄉,西口村,155,21,176,3,1130
烈嶼鄉,上林村,167,16,183,7,1428
烈嶼鄉,上岐村,222,20,242,3,1411
烈嶼鄉,上岐村,188,26,214,6,1432
烏坵鄉,大坵村,14,5,19,0,270
烏坵鄉,小坵村,14,4,18,0,299
