中華民國憲法增修條文增訂第一條之一條文修正案： 第一條之一 中華民國國民年滿十八歲者，有依法選舉、罷免、創制、複決及參加公民投票之權。 除本憲法及法律別有規定者外，年滿十八歲者，有依法被選舉之權。 憲法第一百三十條之規定，停止適用。,2022年11月26日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,138,398,536,37,1345
金城鎮,東門里,238,445,683,62,1682
金城鎮,東門里,190,459,649,22,1698
金城鎮,南門里,196,414,610,80,1793
金城鎮,南門里,163,365,528,20,1586
金城鎮,南門里,190,507,697,69,1822
金城鎮,西門里,166,403,569,46,1534
金城鎮,西門里,136,395,531,37,1528
金城鎮,西門里,161,380,541,41,1497
金城鎮,西門里,167,392,559,33,1579
金城鎮,西門里,227,453,680,23,1698
金城鎮,西門里,137,390,527,23,1447
金城鎮,北門里,121,332,453,35,1278
金城鎮,北門里,110,280,390,35,1102
金城鎮,北門里,131,340,471,29,1391
金城鎮,賢庵里,177,381,558,51,1590
金城鎮,賢庵里,173,362,535,34,1530
金城鎮,賢庵里,183,343,526,25,1616
金城鎮,金水里,224,577,801,96,2213
金城鎮,古城里,148,275,423,40,1318
金城鎮,古城里,157,266,423,61,1211
金城鎮,古城里,203,267,470,47,1447
金城鎮,珠沙里,119,297,416,26,1580
金城鎮,珠沙里,170,316,486,42,1264
金寧鄉,古寧村,119,322,441,66,1780
金寧鄉,古寧村,124,275,399,32,1558
金寧鄉,安美村,171,231,402,31,1207
金寧鄉,安美村,126,208,334,25,1020
金寧鄉,安美村,129,230,359,42,986
金寧鄉,安美村,132,251,383,54,1065
金寧鄉,安美村,128,207,335,35,891
金寧鄉,湖埔村,172,259,431,40,1484
金寧鄉,湖埔村,122,262,384,46,1124
金寧鄉,湖埔村,145,357,502,43,1250
金寧鄉,湖埔村,152,163,315,0,1003
金寧鄉,湖埔村,152,307,459,32,1205
金寧鄉,湖埔村,191,373,564,41,1365
金寧鄉,榜林村,103,273,376,30,997
金寧鄉,榜林村,98,210,308,30,953
金寧鄉,榜林村,189,328,517,72,1767
金寧鄉,榜林村,178,362,540,53,1541
金寧鄉,盤山村,166,381,547,67,1581
金寧鄉,盤山村,110,265,375,21,1021
金寧鄉,盤山村,174,300,474,29,1407
金寧鄉,盤山村,141,279,420,21,1232
金寧鄉,盤山村,227,200,427,4,1107
金寧鄉,后盤村,180,381,561,44,1664
金湖鎮,新市里,145,319,464,41,1198
金湖鎮,新市里,159,340,499,55,1220
金湖鎮,新市里,144,364,508,38,1444
金湖鎮,山外里,216,432,648,67,1928
金湖鎮,山外里,205,340,545,49,1420
金湖鎮,溪湖里,173,374,547,74,1544
金湖鎮,蓮庵里,122,318,440,28,1722
金湖鎮,料羅里,85,227,312,41,1056
金湖鎮,料羅里,139,264,403,32,1115
金湖鎮,新湖里,259,435,694,21,1870
金湖鎮,新湖里,127,346,473,16,1600
金湖鎮,新湖里,211,347,558,33,1682
金湖鎮,新湖里,212,388,600,37,1498
金湖鎮,新湖里,213,386,599,24,1399
金湖鎮,正義里,142,304,446,31,1270
金湖鎮,正義里,127,361,488,46,1404
金湖鎮,瓊林里,202,425,627,68,1657
金湖鎮,瓊林里,179,404,583,52,1614
金沙鎮,汶沙里,47,155,202,13,869
金沙鎮,汶沙里,51,213,264,24,981
金沙鎮,汶沙里,168,404,572,77,1513
金沙鎮,汶沙里,153,335,488,27,1617
金沙鎮,何斗里,102,231,333,26,961
金沙鎮,何斗里,91,236,327,22,1066
金沙鎮,浦山里,141,343,484,51,1208
金沙鎮,浦山里,86,282,368,30,1090
金沙鎮,西園里,125,359,484,62,1577
金沙鎮,官嶼里,97,266,363,47,1230
金沙鎮,官嶼里,81,197,278,31,950
金沙鎮,三山里,79,198,277,31,1002
金沙鎮,三山里,89,230,319,32,894
金沙鎮,大洋里,27,388,415,22,1161
金沙鎮,光前里,82,252,334,12,1268
金沙鎮,光前里,124,281,405,52,1087
烈嶼鄉,林湖村,195,428,623,40,1564
烈嶼鄉,林湖村,128,413,541,29,1703
烈嶼鄉,黃埔村,150,448,598,31,1644
烈嶼鄉,西口村,113,258,371,35,1264
烈嶼鄉,西口村,73,213,286,32,1083
烈嶼鄉,上林村,88,284,372,72,1412
烈嶼鄉,上岐村,134,355,489,37,1392
烈嶼鄉,上岐村,117,258,375,31,1413
烏坵鄉,大坵村,32,45,77,17,274
烏坵鄉,小坵村,26,47,73,8,290
